cause,cause.sub
Y569,Other external causes of injury
Y570,Other external causes of injury
Y574,Other external causes of injury
Y575,Other external causes of injury
Y576,Other external causes of injury
Y577,Other external causes of injury
Y578,Other external causes of injury
Y579,Other external causes of injury
Y584,Other external causes of injury
Y586,Other external causes of injury
Y590,Other external causes of injury
Y598,Other external causes of injury
Y599,Other external causes of injury
Y600,Other external causes of injury
Y601,Other external causes of injury
Y602,Other external causes of injury
Y603,Other external causes of injury
Y604,Other external causes of injury
Y605,Other external causes of injury
Y606,Other external causes of injury
Y607,Other external causes of injury
Y608,Other external causes of injury
Y609,Other external causes of injury
Y610,Other external causes of injury
Y611,Other external causes of injury
Y612,Other external causes of injury
Y614,Other external causes of injury
Y615,Other external causes of injury
Y616,Other external causes of injury
Y617,Other external causes of injury
Y618,Other external causes of injury
Y619,Other external causes of injury
Y622,Other external causes of injury
Y623,Other external causes of injury
Y624,Other external causes of injury
Y625,Other external causes of injury
Y626,Other external causes of injury
Y628,Other external causes of injury
Y630,Other external causes of injury
Y631,Other external causes of injury
Y632,Other external causes of injury
Y633,Other external causes of injury
Y634,Other external causes of injury
Y636,Other external causes of injury
Y638,Other external causes of injury
Y639,Other external causes of injury
Y640,Other external causes of injury
Y641,Other external causes of injury
Y648,Other external causes of injury
Y649,Other external causes of injury
Y650,Other external causes of injury
Y651,Other external causes of injury
Y653,Other external causes of injury
Y654,Other external causes of injury
Y658,Other external causes of injury
Y660,Other external causes of injury
Y690,Other external causes of injury
Y703,Other external causes of injury
Y712,Other external causes of injury
Y728,Other external causes of injury
Y730,Other external causes of injury
Y731,Other external causes of injury
Y732,Other external causes of injury
Y741,Other external causes of injury
Y743,Other external causes of injury
Y750,Other external causes of injury
Y800,Other external causes of injury
Y801,Other external causes of injury
Y802,Other external causes of injury
Y808,Other external causes of injury
Y812,Other external causes of injury
Y818,Other external causes of injury
Y820,Other external causes of injury
Y821,Other external causes of injury
Y822,Other external causes of injury
Y823,Other external causes of injury
Y828,Other external causes of injury
Y830,Other external causes of injury
Y831,Other external causes of injury
Y832,Other external causes of injury
Y833,Other external causes of injury
Y834,Other external causes of injury
Y835,Other external causes of injury
Y836,Other external causes of injury
Y838,Other external causes of injury
Y839,Other external causes of injury
Y840,Other external causes of injury
Y841,Other external causes of injury
Y842,Other external causes of injury
Y843,Other external causes of injury
Y844,Other external causes of injury
Y845,Other external causes of injury
Y846,Other external causes of injury
Y847,Other external causes of injury
Y848,Other external causes of injury
Y849,Other external causes of injury
Y850,Other external causes of injury
Y859,Other external causes of injury
Y860,Other external causes of injury
Y870,Other external causes of injury
Y871,Other external causes of injury
Y872,Other external causes of injury
Y880,Other external causes of injury
Y881,Other external causes of injury
Y882,Other external causes of injury
Y883,Other external causes of injury
Y890,Other external causes of injury
Y891,Other external causes of injury
Y899,Other external causes of injury
8000,Transport accidents
8001,Transport accidents
8002,Transport accidents
8003,Transport accidents
8008,Transport accidents
8009,Transport accidents
8010,Transport accidents
8011,Transport accidents
8012,Transport accidents
8013,Transport accidents
8018,Transport accidents
8019,Transport accidents
8020,Transport accidents
8021,Transport accidents
8022,Transport accidents
8028,Transport accidents
8029,Transport accidents
8030,Transport accidents
8031,Transport accidents
8039,Transport accidents
8040,Transport accidents
8041,Transport accidents
8042,Transport accidents
8048,Transport accidents
8049,Transport accidents
8050,Transport accidents
8051,Transport accidents
8052,Transport accidents
8053,Transport accidents
8058,Transport accidents
8059,Transport accidents
8060,Transport accidents
8061,Transport accidents
8062,Transport accidents
8063,Transport accidents
8068,Transport accidents
8069,Transport accidents
8070,Transport accidents
8071,Transport accidents
8072,Transport accidents
8078,Transport accidents
8079,Transport accidents
8100,Transport accidents
8101,Transport accidents
8102,Transport accidents
8103,Transport accidents
8104,Transport accidents
8105,Transport accidents
8106,Transport accidents
8107,Transport accidents
8108,Transport accidents
8109,Transport accidents
8110,Transport accidents
8111,Transport accidents
8112,Transport accidents
8113,Transport accidents
8119,Transport accidents
8120,Transport accidents
8121,Transport accidents
8122,Transport accidents
8123,Transport accidents
8124,Transport accidents
8125,Transport accidents
8126,Transport accidents
8127,Transport accidents
8128,Transport accidents
8129,Transport accidents
8130,Transport accidents
8131,Transport accidents
8132,Transport accidents
8133,Transport accidents
8135,Transport accidents
8136,Transport accidents
8137,Transport accidents
8138,Transport accidents
8139,Transport accidents
8140,Transport accidents
8141,Transport accidents
8142,Transport accidents
8143,Transport accidents
8144,Transport accidents
8145,Transport accidents
8146,Transport accidents
8147,Transport accidents
8148,Transport accidents
8149,Transport accidents
8150,Transport accidents
8151,Transport accidents
8152,Transport accidents
8153,Transport accidents
8154,Transport accidents
8155,Transport accidents
8156,Transport accidents
8157,Transport accidents
8158,Transport accidents
8159,Transport accidents
8160,Transport accidents
8161,Transport accidents
8162,Transport accidents
8163,Transport accidents
8164,Transport accidents
8166,Transport accidents
8167,Transport accidents
8168,Transport accidents
8169,Transport accidents
8170,Transport accidents
