Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US12011,12011,"Broward County, Florida",1748066,1747770,1747770,0,296,0
0500000US12013,12013,"Calhoun County, Florida",14625,4751,0,4751,9874,0
0500000US12015,12015,"Charlotte County, Florida",159978,145765,144528,1237,14213,0
0500000US12017,12017,"Citrus County, Florida",141236,92483,79279,13204,48753,0
0500000US12019,12019,"Clay County, Florida",190865,162295,157054,5241,28570,0
0500000US12021,12021,"Collier County, Florida",321520,294236,259499,34737,27284,0
0500000US12023,12023,"Columbia County, Florida",67531,25623,0,25623,41908,0
0500000US12027,12027,"DeSoto County, Florida",34862,18741,1251,17490,16121,0
0500000US12029,12029,"Dixie County, Florida",16422,3773,0,3773,12649,0
0500000US12031,12031,"Duval County, Florida",864263,839100,839100,0,25163,0
0500000US12033,12033,"Escambia County, Florida",297619,272910,270140,2770,24709,0
0500000US12035,12035,"Flagler County, Florida",95696,85819,85819,0,9877,0
0500000US12037,12037,"Franklin County, Florida",11549,3691,0,3691,7858,0
0500000US12039,12039,"Gadsden County, Florida",46389,16060,622,15438,30329,0
0500000US12041,12041,"Gilchrist County, Florida",16939,2724,0,2724,14215,0
0500000US12043,12043,"Glades County, Florida",12884,3783,0,3783,9101,0
0500000US12045,12045,"Gulf County, Florida",15863,3635,0,3635,12228,0
0500000US12047,12047,"Hamilton County, Florida",14799,5404,0,5404,9395,0
0500000US12049,12049,"Hardee County, Florida",27731,14473,0,14473,13258,0
0500000US12051,12051,"Hendry County, Florida",39140,24309,0,24309,14831,0
0500000US12053,12053,"Hernando County, Florida",172778,139302,136347,2955,33476,0
0500000US12055,12055,"Highlands County, Florida",98786,77976,61625,16351,20810,0
0500000US12057,12057,"Hillsborough County, Florida",1229226,1186045,1186045,0,43181,0
0500000US12059,12059,"Holmes County, Florida",19927,4230,0,4230,15697,0
0500000US12061,12061,"Indian River County, Florida",138028,131171,125877,5294,6857,0
0500000US12063,12063,"Jackson County, Florida",49746,12256,0,12256,37490,0
0500000US12065,12065,"Jefferson County, Florida",14761,0,0,0,14761,0
0500000US12067,12067,"Lafayette County, Florida",8870,0,0,0,8870,0
0500000US12069,12069,"Lake County, Florida",297052(r40336),239858,228744,11114,57194,0
0500000US12071,12071,"Lee County, Florida",618754,582741,580917,1824,36013,0
0500000US12073,12073,"Leon County, Florida",275487,241576,239601,1975,33911,0
0500000US12075,12075,"Levy County, Florida",40801,3244,0,3244,37557,0
