"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,50,2005,"37",282074,283347,1273,0.451300013471642
1,50,2005,"38",23494,23995,501,2.13245935132374
1,50,2005,"39",398538,400045,1507,0.378132072725813
1,50,2005,"40",115585,117529,1944,1.68187913656616
1,50,2005,"41",135216,134392,824,0.609395337829843
1,50,2005,"42",441002,442240,1238,0.28072435045646
1,50,2005,"44",35988,35844,144,0.400133377792598
1,50,2005,"45",140060,140848,788,0.562616021704984
1,50,2005,"46",27188,27389,201,0.739296748565544
1,50,2005,"47",199575,201159,1584,0.793686583990981
1,50,2005,"48",697810,703036,5226,0.748914460956421
1,50,2005,"49",66567,65882,685,1.02903841242658
1,50,2005,"50",24685,24388,297,1.20315981365202
1,50,2005,"51",254248,256715,2467,0.970312450835405
1,50,2005,"53",225308,224963,345,0.153123723968967
1,50,2005,"54",68558,69684,1126,1.64240497097348
1,50,2005,"55",198737,199139,402,0.202277381665216
1,50,2005,"56",20340,20754,414,2.0353982300885
1,5,2005,"01",151831,143069,8762,5.77089000270037
1,5,2005,"02",24352,22729,1623,6.66475032851511
1,5,2005,"04",216639,215866,773,0.356814793273603
1,5,2005,"05",94174,93335,839,0.890904071187377
1,5,2005,"06",1289967,1329820,39853,3.0894588776302
1,5,2005,"08",156988,169042,12054,7.67829388233496
1,5,2005,"09",115060,96936,18124,15.7517816791239
1,5,2005,"10",27244,27225,19,0.0697401262663339
